_id,country,name,overallRating,rating.Academics[0],rating.Food[0],rating.Dorms[0],rating.Social[0],rating.Location[0],rating.Opportunities[0],rating.Clubs[0],rating.Safety[0]
658ccbbb738d9d84019c1be3,NG,Akanu Ibiam Federal Polytechnic - Unwana,,,,,,,,,
658ccbbb738d9d84019c1be4,KE,Dedan Kimathi University of Technology,,,,,,,,,
658ccbbb738d9d84019c1be5,CN,Huaihua University,,,,,,,,,
658ccbbb738d9d84019c1be6,IN,L.D.College of Engineering,,,,,,,,,
658ccbbb738d9d84019c1be7,MM,Technological University - Yangon,,,,,,,,,
658ccbbb738d9d84019c1be8,MR,Université de Nouakchott,,,,,,,,,
658ccbbb738d9d84019c1be9,RO,1 December University of Alba Iulia,,,,,,,,,
658ccbbb738d9d84019c1bea,CN,2nd Military Medical University,,,,,,,,,
658ccbbb738d9d84019c1beb,CN,3rd Military Medical University,,,,,,,,,
658ccbbb738d9d84019c1bec,CN,4th Military Medical University,,,,,,,,,
658ccbbb738d9d84019c1bed,TR,İstanbul Şehir University,,,,,,,,,
658ccbbb738d9d84019c1bee,CA,"École de technologie supérieure Université du Québec""",,,,,,,,,
658ccbbb738d9d84019c1bef,CA,École des Hautes Études Commerciales,,,,,,,,,
658ccbbb738d9d84019c1bf0,CA,École nationale d'administration publique,,,,,,,,,
658ccbbb738d9d84019c1bf1,FR,École Nationale Supérieure d'Ingénieurs de Constructions Aéronautiques,,,,,,,,,
658ccbbb738d9d84019c1bf2,CA,École Polytechnique de Montréal - Université de Montréal,,,,,,,,,
658ccbbb738d9d84019c1bf3,DK,Aalborg Business College,,,,,,,,,
658ccbbb738d9d84019c1bf4,DK,Aalborg University,,,,,,,,,
658ccbbb738d9d84019c1bf5,DK,Aarhus School of Architecture,,,,,,,,,
658ccbbb738d9d84019c1bf6,DK,Aarhus School of Business,,,,,,,,,
658ccbbb738d9d84019c1bf7,DK,Aarhus Technical College,,,,,,,,,
658ccbbb738d9d84019c1bf8,DK,Aarhus University,,,,,,,,,
658ccbbb738d9d84019c1bf9,KZ,Abai State University,,,,,,,,,
658ccbbb738d9d84019c1bfa,TR,Abant Izzet Baysal University,,,,,,,,,
658ccbbb738d9d84019c1bfb,PK,Abasyn University Peshawar,,,,,,,,,
658ccbbb738d9d84019c1bfc,IT,Abdus Salam international centre for theoretical physics,,,,,,,,,
658ccbbb738d9d84019c1bfd,ID,Abfi Institute Perbanas Jakarta,,,,,,,,,
658ccbbb738d9d84019c1bfe,NG,Abia State Polytechnic,,,,,,,,,
658ccbbb738d9d84019c1bff,NG,Abia State University,,,,,,,,,
658ccbbb738d9d84019c1c00,US,Abilene Christian University,,,,,,,,,
658ccbbb738d9d84019c1c01,BW,ABM University College,,,,,,,,,
658ccbbb738d9d84019c1c02,FI,Abo Akademi University,,,,,,,,,
658ccbbb738d9d84019c1c03,NG,ABTI American University of Nigeria,,,,,,,,,
658ccbbb738d9d84019c1c04,AE,Abu Dhabi University,,,,,,,,,
658ccbbb738d9d84019c1c05,NG,Abubakar Tafawa Balewa University,,,,,,,,,
658ccbbb738d9d84019c1c06,KZ,Abylai Khan University,,,,,,,,,
658ccbbb738d9d84019c1c07,RO,Academia de Studii Economice din Bucuresti,,,,,,,,,
658ccbbb738d9d84019c1c08,PT,Academia Nacional Superior de Orquesta,,,,,,,,,
658ccbbb738d9d84019c1c09,RO,Academia Tehnica Militara,,,,,,,,,
658ccbbb738d9d84019c1c0a,US,Academy of Art College,,,,,,,,,
658ccbbb738d9d84019c1c0b,AL,Academy of Arts,,,,,,,,,
658ccbbb738d9d84019c1c0c,RO,Academy of Arts -George Enescu- Iasi,,,,,,,,,
658ccbbb738d9d84019c1c0d,SK,Academy of Arts in Banská Bystrica,,,,,,,,,
658ccbbb738d9d84019c1c0e,HU,Academy of Drama and Film,,,,,,,,,
658ccbbb738d9d84019c1c0f,MD,Academy of Economic Studies of Moldova,,,,,,,,,
658ccbbb738d9d84019c1c10,BG,"Academy of Economics ""Dimitur A. Tscenov""",,,,,,,,,
658ccbbb738d9d84019c1c11,PL,Academy of Economics in Cracow,,,,,,,,,
658ccbbb738d9d84019c1c12,PL,Academy of Economics in Katowice,,,,,,,,,
658ccbbb738d9d84019c1c13,PL,Academy of Economics in Poznan,,,,,,,,,
658ccbbb738d9d84019c1c14,PL,Academy of Economics in Wroclaw,,,,,,,,,
658ccbbb738d9d84019c1c15,FI,Academy of Fine Arts,,,,,,,,,
658ccbbb738d9d84019c1c16,SK,Academy of Fine Arts and Design in Bratislava,,,,,,,,,
658ccbbb738d9d84019c1c17,PL,Academy of Humanities and Economics in Lodz,,,,,,,,,
658ccbbb738d9d84019c1c18,PL,Academy of International Economic and Political Relations - Gdynia,,,,,,,,,
658ccbbb738d9d84019c1c19,RU,Academy of Management and Entrepreneurship,,,,,,,,,
658ccbbb738d9d84019c1c1a,RO,"Academy of Music """"Georghe Dima"""" Cluj-Napoca",,,,,,,,,
658ccbbb738d9d84019c1c1b,BG,Academy of Music Dance and Fine Arts,,,,,,,,,
658ccbbb738d9d84019c1c1c,CZ,Academy of Performing Arts; Film and TV Fakulty,,,,,,,,,
658ccbbb738d9d84019c1c1d,AZ,Academy of Public Administration,,,,,,,,,
658ccbbb738d9d84019c1c1e,BY,Academy of Public Administration of Belarus,,,,,,,,,
658ccbbb738d9d84019c1c1f,AL,Academy of Sports and Physical Training,,,,,,,,,
